HEADWORD	IPA	SOUND_CLASSES
solidarisch	z o l i d a r ɪ ʃ	S V R V T V R V S
solidarisieren	z o l i d a r i z i r ə n	S V R V T V R V S V R V N
Solidarismus	z o l i d a r ɪ s m ʊ s	S V R V T V R V S M V S
Solidarität	z o l i d a r i t æ t	S V R V T V R V T V T
Solidaritätsgefühl	z o l i d a r i t æ ts g ə f y l	S V R V T V R V T V K K V P V R
Solidarschuldner	z o l i d a r ʃ ʊ l t n ə r	S V R V T V R S V R T N V R
solide	z o l i d ə	S V R V T V
solidieren	z o l i d i r ə n	S V R V T V R V N
Solidität	z o l i d i t æ t	S V R V T V T V T
Soliloquium	z o l i l o k v i ʊ m	S V R V R V K W V V M
Solipsismus	z o l ɪ p s ɪ s m ʊ s	S V R V P S V S M V S
Solipsist	z o l ɪ p s ɪ s t	S V R V P S V S T
solipsistisch	z o l ɪ p s ɪ s t ɪ ʃ	S V R V P S V S T V S
Solist	z o l ɪ s t	S V R V S T
Solistin	z o l ɪ s t ɪ n	S V R V S T V N
sollen	z ɔ l ə n	S V R V N
Soll	z ɔ l	S V R
solo	z o l o	S V R V
Solo	z o l o	S V R V
solonisch	z o l o n ɪ ʃ	S V R V N V S
Soloszene	z o l o s ts e n ə	S V R V S K V N V
Solotanz	z o l o t a n ts	S V R V T V N K
Solotänzer	z o l o t ɛ n ts ə r	S V R V T V N K V R
Solotänzerin	z o l o t ɛ n ts ə r ɪ n	S V R V T V N K V R V N
Solqülle	z o l k v ɛ l ə	S V R K W V R V
solubel	z o l u b ə l	S V R V P V R
Solution	z o l u ts i o n	S V R V K V V N
solvabel	z ɔ l v a b ə l	S V R W V P V R
Solvens	z ɔ l v ɛ n s	S V R W V N S
solvent	z ɔ l v ɛ n t	S V R W V N T
Solvenz	z ɔ l v ɛ n ts	S V R W V N K
solvieren	z ɔ l v i r ə n	S V R W V R V N
Soma	z o m a	S V M V
somalisch	z o m a l ɪ ʃ	S V M V R V S
somatisch	z o m a t ɪ ʃ	S V M V T V S
somatogen	z o m a t o g e n	S V M V T V K V N
Somatologie	z o m a t o l o g i	S V M V T V R V K V
Sombrero	z ɔ m b r e r o	S V M P R V R V
somit	z o m ɪ t	S V M V T
sommern	z ɔ m ə r n	S V M V R N
Sommer	z ɔ m ə r	S V M V R
Sommeranfang	z ɔ m ə r a n f a ŋ	S V M V R V N P V N
Sommeraufenthalt	z ɔ m ə r au f ɛ n t h a l t	S V M V R V P V N T H V R T
Sommerfahrplan	z ɔ m ə r f a r p l a n	S V M V R P V R P R V N
Sommerfrische	z ɔ m ə r f r ɪ ʃ ə	S V M V R P R V S V
Sommerfrischler	z ɔ m ə r f r ɪ ʃ l ə r	S V M V R P R V S R V R
Sommergewächs	z ɔ m ə r g ə v ɛ k s	S V M V R K V W V K S
Sommerkleid	z ɔ m ə r k l ai t	S V M V R K R V T
Sommerkollektion	z ɔ m ə r k ɔ l ɛ k ts i o n	S V M V R K V R V K K V V N
sommerlich	z ɔ m ə r l ɪ x	S V M V R R V K
Sommermonat	z ɔ m ə r m o n a t	S V M V R M V N V T
Sommernacht	z ɔ m ə r n a x t	S V M V R N V K T
Sommerpause	z ɔ m ə r p au z ə	S V M V R P V S V
sommers	z ɔ m ə r s	S V M V R S
Sommersaat	z ɔ m ə r z a t	S V M V R S V T
Sommersanfang	z ɔ m ə r s a n f a ŋ	S V M V R S V N P V N
Sommerschlussverkauf	z ɔ m ə r ʃ l ʊ s f ɛ r k au f	S V M V R S R V S P V R K V P
Sommersemester	z ɔ m ə r z e m ɛ s t ə r	S V M V R S V M V S T V R
Sommersonnenwende	z ɔ m ə r z ɔ n ə n v ɛ n d ə	S V M V R S V N V N W V N T V
Sommersprosse	z ɔ m ə r ʃ p r ɔ s ə	S V M V R S P R V S V
sommersprossig	z ɔ m ə r ʃ p r ɔ s ɪ x	S V M V R S P R V S V K
sommersüber	z ɔ m ə r s y b ə r	S V M V R S V P V R
Sommerszeit	z ɔ m ə r s ts ai t	S V M V R S K V T
sommertags	z ɔ m ə r t a k s	S V M V R T V K S
Sommerung	z ɔ m ə r ʊ ŋ	S V M V R V N
Sömmerung	z œ m ə r ʊ ŋ	S V M V R V N
Sommervogel	z ɔ m ə r f o g ə l	S V M V R P V K V R
Sommerzeit	z ɔ m ə r ts ai t	S V M V R K V T
somnambul	z ɔ m n a m b u l	S V M N V M P V R
Somnambule	z ɔ m n a m b u l ə	S V M N V M P V R V
Somnambulismus	z ɔ m n a m b u l ɪ s m ʊ s	S V M N V M P V R V S M V S
sonach	z o n a x	S V N V K
Sonant	z o n a n t	S V N V N T
Sonate	z o n a t ə	S V N V T V
Sonatine	z o n a t i n ə	S V N V T V N V
Sonde	z ɔ n d ə	S V N T V
Sondenhalter	z ɔ n d ə n h a l t ə r	S V N T V N H V R T V R
sonder	z ɔ n d ə r	S V N T V R
sondern	z ɔ n d ə r n	S V N T V R N
Sonderabdruck	z ɔ n d ə r a p d r ʊ k	S V N T V R V P T R V K
Sonderangebot	z ɔ n d ə r a n g ə b o t	S V N T V R V N K V P V T
Sonderausgabe	z ɔ n d ə r au s g a b ə	S V N T V R V S K V P V
sonderbar	z ɔ n d ə r b a r	S V N T V R P V R
sonderbarerweise	z ɔ n d ə r b a r ɛ r v ai z ə	S V N T V R P V R V R W V S V
Sonderbarkeit	z ɔ n d ə r b a r k ai t	S V N T V R P V R K V T
Sonderbehandlung	z ɔ n d ə r b ə h a n t l ʊ ŋ	S V N T V R P V H V N T R V N
Sonderbestimmung	z ɔ n d ə r b ə ʃ t ɪ m ʊ ŋ	S V N T V R P V S T V M V N
Sonderbriefmarke	z ɔ n d ə r b r i f m a r k ə	S V N T V R P R V P M V R K V
Sonderbund	z ɔ n d ə r b ʊ n t	S V N T V R P V N T
Sonderdruck	z ɔ n d ə r d r ʊ k	S V N T V R T R V K
Sondergenehmigung	z ɔ n d ə r g ə n e m ɪ g ʊ ŋ	S V N T V R K V N V M V K V N
sondergleichen	z ɔ n d ə r g l ai x ə n	S V N T V R K R V K V N
Sonderklasse	z ɔ n d ə r k l a s ə	S V N T V R K R V S V
sonderlich	z ɔ n d ə r l ɪ x	S V N T V R R V K
Sonderling	z ɔ n d ə r l ɪ ŋ	S V N T V R R V N
Sondernummer	z ɔ n d ə r n ʊ m ə r	S V N T V R N V M V R
Sonderpreis	z ɔ n d ə r p r ai s	S V N T V R P R V S
Sonderrecht	z ɔ n d ə r r ɛ x t	S V N T V R R V K T
sonders	z ɔ n d ə r s	S V N T V R S
Sonderschule	z ɔ n d ə r ʃ u l ə	S V N T V R S V R V
Sondersprache	z ɔ n d ə r ʃ p r a x ə	S V N T V R S P R V K V
Sonderstellung	z ɔ n d ə r ʃ t ɛ l ʊ ŋ	S V N T V R S T V R V N
Sonderstempel	z ɔ n d ə r ʃ t ɛ m p ə l	S V N T V R S T V M P V R
sondertümlich	z ɔ n d ə r t y m l ɪ x	S V N T V R T V M R V K
Sonderung	z ɔ n d ə r ʊ ŋ	S V N T V R V N
Sonderwunsch	z ɔ n d ə r v ʊ n ʃ	S V N T V R W V N S
sondieren	z ɔ n d i r ə n	S V N T V R V N
Sondierung	z ɔ n d i r ʊ ŋ	S V N T V R V N
Sonett	z o n ɛ t	S V N V T
Song	z ɔ ŋ	S V N
sonnen	z ɔ n ə n	S V N V N
Sonnabend	z ɔ n a b ə n t	S V N V P V N T
sonnabends	z ɔ n a b ə n ts	S V N V P V N K
sonndurchflutet	z ɔ n d ʊ r x f l u t ə t	S V N T V R K P R V T V T
Sonne	z ɔ n ə	S V N V
Sonnenaufgang	z ɔ n ə n au f g a ŋ	S V N V N V P K V N
sonnenbaden	z ɔ n ə n b a d ə n	S V N V N P V T V N
Sonnenbad	z ɔ n ə n b a t	S V N V N P V T
Sonnenbahn	z ɔ n ə n b a n	S V N V N P V N
Sonnenball	z ɔ n ə n b a l	S V N V N P V R
Sonnenbatterie	z ɔ n ə n b a t ə r i	S V N V N P V T V R V
Sonnenblende	z ɔ n ə n b l ɛ n d ə	S V N V N P R V N T V
Sonnenblume	z ɔ n ə n b l u m ə	S V N V N P R V M V
Sonnenbrand	z ɔ n ə n b r a n t	S V N V N P R V N T
Sonnenbräune	z ɔ n ə n b r χ n ə	S V N V N P R K N V
Sonnenbrille	z ɔ n ə n b r ɪ l ə	S V N V N P R V R V
Sonnendach	z ɔ n ə n d a x	S V N V N T V K
Sonnendeck	z ɔ n ə n d ɛ k	S V N V N T V K
Sonnenfinsternis	z ɔ n ə n f ɪ n s t ə r n ɪ s	S V N V N P V N S T V R N V S
Sonnenfleck	z ɔ n ə n f l ɛ k	S V N V N P R V K
sonnengebräunt	z ɔ n ə n g ə b r χ n t	S V N V N K V P R K N T
Sonnengeflecht	z ɔ n ə n g ə f l ɛ x t	S V N V N K V P R V K T
Sonnenglut	z ɔ n ə n g l u t	S V N V N K R V T
Sonnengott	z ɔ n ə n g ɔ t	S V N V N K V T
sonnenhell	z ɔ n ə n h ɛ l	S V N V N H V R
Sonnenhut	z ɔ n ə n h u t	S V N V N H V T
Sonnenjahr	z ɔ n ə n j a r	S V N V N J V R
sonnenklar	z ɔ n ə n k l a r	S V N V N K R V R
Sonnenkönig	z ɔ n ə n k ɶː n ɪ x	S V N V N K V N V K
Sonnenkult	z ɔ n ə n k ʊ l t	S V N V N K V R T
Sonnenlicht	z ɔ n ə n l ɪ x t	S V N V N R V K T
Sonnennähe	z ɔ n ə n n æ ə	S V N V N N V V
Sonnenöl	z ɔ n ə n ɶː l	S V N V N V R
Sonnenrad	z ɔ n ə n r a t	S V N V N R V T
Sonnenscheibe	z ɔ n ə n ʃ ai b ə	S V N V N S V P V
Sonnenschirm	z ɔ n ə n ʃ ɪ r m	S V N V N S V R M
Sonnenseite	z ɔ n ə n z ai t ə	S V N V N S V T V
sonnenselig	z ɔ n ə n z e l ɪ x	S V N V N S V R V K
Sonnenstich	z ɔ n ə n ʃ t ɪ x	S V N V N S T V K
Sonnenstrahl	z ɔ n ə n ʃ t r a l	S V N V N S T R V R
Sonnensystem	z ɔ n ə n z ʏ s t e m	S V N V N S V S T V M
Sonnentag	z ɔ n ə n t a k	S V N V N T V K
Sonnentau	z ɔ n ə n t au	S V N V N T V
Sonnentierchen	z ɔ n ɛ n t i r x ə n	S V N V N T V R K V N
Sonnenuhr	z ɔ n ə n u r	S V N V N V R
Sonnenuntergang	z ɔ n ə n ʊ n t ə r g a ŋ	S V N V N V N T V R K V N
sonnenverbrannt	z ɔ n ə n f ɛ r b r a n t	S V N V N P V R P R V N T
Sonnenwarte	z ɔ n ə n v a r t ə	S V N V N W V R T V
Sonnenwende	z ɔ n ə n v ɛ n d ə	S V N V N W V N T V
sonnig	z ɔ n ɪ x	S V N V K
sonnseitig	z ɔ n z ai t ɪ x	S V N S V T V K
Sonntag	z ɔ n t a k	S V N T V K
Sonntagabend	z ɔ n t a k a b ə n t	S V N T V K V P V N T
sonntägig	z ɔ n t æ g ɪ x	S V N T V K V K
sonntäglich	z ɔ n t æ k l ɪ x	S V N T V K R V K
sonntags	z ɔ n t a k s	S V N T V K S
Sonntagsarbeit	z ɔ n t a k s a r b ai t	S V N T V K S V R P V T
Sonntagsfahrer	z ɔ n t a k s f a r ə r	S V N T V K S P V R V R
Sonntagskind	z ɔ n t a k s k ɪ n t	S V N T V K S K V N T
Sonntagsruhe	z ɔ n t a k s r u ə	S V N T V K S R V V
sonnverbrannt	z ɔ n f ɛ r b r a n t	S V N P V R P R V N T
Sonnwendfeier	z ɔ n v ɛ n t f ai ə r	S V N W V N T P V V R
sonor	z o n o r	S V N V R
Sonorität	z o n o r i t æ t	S V N V R V T V T
sonst	z ɔ n s t	S V N S T
sonstig	z ɔ n s t ɪ x	S V N S T V K
sonstjemand	z ɔ n s t j e m a n t	S V N S T J V M V N T
sonstwas	z ɔ n s t v a s	S V N S T W V S
sonstwer	z ɔ n s t v e r	S V N S T W V R
sonstwie	z ɔ n s t v i	S V N S T W V
sonstwo	z ɔ n s t v o	S V N S T W V
sonstwohin	z ɔ n s t v o h ɪ n	S V N S T W V H V N
sooft	z o ɔ f t	S V V P T
Sophismus	z o f ɪ s m ʊ s	S V P V S M V S
Sophist	z o f ɪ s t	S V P V S T
Sophistik	z o f ɪ s t ɪ k	S V P V S T V K
sophistisch	z o f ɪ s t ɪ ʃ	S V P V S T V S
sophokletisch	z o f o k l e t ɪ ʃ	S V P V K R V T V S
Sopran	z o p r a n	S V P R V N
Sopranist	z o p r a n ɪ s t	S V P R V N V S T
Sopranistin	z o p r a n ɪ s t ɪ n	S V P R V N V S T V N
Sorbet	z ɔ r b ɛ t	S V R P V T
Sorbett	z ɔ r b ɛ t	S V R P V T
sorbisch	z ɔ r b ɪ ʃ	S V R P V S
Sorbit	z ɔ r b i t	S V R P V T
Sorbonne	z ɔ r b ɔ n	S V R P V N
Sordine	z ɔ r d i n ə	S V R T V N V
sorgen	z ɔ r g ə n	S V R K V N
Sorge	z ɔ r g ə	S V R K V
Sorgenbrecher	z ɔ r g ə n b r ɛ x ə r	S V R K V N P R V K V R
sorgenfrei	z ɔ r g ə n f r ai	S V R K V N P R V
Sorgenkind	z ɔ r g ə n k ɪ n t	S V R K V N K V N T
Sorgenlast	z ɔ r g ə n l a s t	S V R K V N R V S T
sorgenlos	z ɔ r g ə n l o s	S V R K V N R V S
sorgenschwer	z ɔ r g ə n ʃ v e r	S V R K V N S W V R
sorgenvoll	z ɔ r g ə n f ɔ l	S V R K V N P V R
Sorgepflicht	z ɔ r g ə pf l ɪ x t	S V R K V P R V K T
Sorgfalt	z ɔ r k f a l t	S V R K P V R T
sorgfältig	z ɔ r k f ɛ l t ɪ x	S V R K P V R T V K
Sorgfältigkeit	z ɔ r k f ɛ l t ɪ x k ai t	S V R K P V R T V K K V T
sorglich	z ɔ r k l ɪ x	S V R K R V K
sorglos	z ɔ r k l o s	S V R K R V S
Sorglosigkeit	z ɔ r k l o z ɪ x k ai t	S V R K R V S V K K V T
sorgsam	z ɔ r k z a m	S V R K S V M
Sorgsamkeit	z ɔ r k z a m k ai t	S V R K S V M K V T
Sorte	z ɔ r t ə	S V R T V
Sortengeschäft	z ɔ r t ə n g ə ʃ ɛ f t	S V R T V N K V S V P T
sortieren	z ɔ r t i r ə n	S V R T V R V N
Sortierer	z ɔ r t i r ə r	S V R T V R V R
Sortiermaschine	z ɔ r t i r m a ʃ i n ə	S V R T V R M V S V N V
sortiert	z ɔ r t i r t	S V R T V R T
Sortierung	z ɔ r t i r ʊ ŋ	S V R T V R V N
Sortilegium	z ɔ r t i l e g i ʊ m	S V R T V R V K V V M
Sortiment	z ɔ r t i m ɛ n t	S V R T V M V N T
Sortimenter	z ɔ r t i m ɛ n t ə r	S V R T V M V N T V R
Sortimentsbuchhandel	z ɔ r t i m ɛ n ts b u x h a n d ə l	S V R T V M V N K P V K H V N T V R
sosehr	z o z e r	S V S V R
sosehr	z o z e r	S V S V R
sossen	z o s ə n	S V S V N
Sosse	z o s ə	S V S V
Sossenlöffel	z o s ə n l œ f ə l	S V S V N R V P V R
Sott	z ɔ t	S V T
Sottise	z ɔ t i z ə	S V T V S V
Sou	z u	S V
Souche	z u ʃ ə	S V S V
Souchong	z u ʃ ɔ ŋ	S V S V N
Souffleur	z u f l ɶː r	S V P R V R
Souffleurkasten	z u f l ɶː r k a s t ə n	S V P R V R K V S T V N
Souffleuse	z u f l ɶː z ə	S V P R V S V
soufflieren	z u f l i r ə n	S V P R V R V N
soundso	z o ʊ n t z o	S V V N T S V
soundsovielte	z o ʊ n t z o f i l t ə	S V V N T S V P V R T V
Souper	z u p e	S V P V
soupieren	z u p i r ə n	S V P V R V N
Souschef	z u ʃ ɛ f	S V S V P
Soutache	z u t a ʃ ə	S V T V S V
soutachieren	z u t a ʃ i r ə n	S V T V S V R V N
Soutane	z u t a n ə	S V T V N V
Soutanelle	z u t a n ɛ l ə	S V T V N V R V
Souterrain	z u t ɛ r ɛ̃	S V T V R V
Souvenir	z u v ə n i r	S V W V N V R
souverän	z u v ə r æ n	S V W V R V N
Souverän	z u v ə r æ n	S V W V R V N
Souveränität	z u v ə r æ n i t æ t	S V W V R V N V T V T
Sovereign	z ɔ v r ɪ n	S V W R V N
soviel	z o f i l	S V P V R
soviel	z o f i l	S V P V R
sovielmal	z o f i l m a l	S V P V R M V R
soweit	z o v ai t	S V W V T
soweit	z o v ai t	S V W V T
sowenig	z o v e n ɪ x	S V W V N V K
sowenig	z o v e n ɪ x	S V W V N V K
sowie	z o v i	S V W V
sowieso	z o v i z o	S V W V S V
Sowjet	z ɔ v j ɛ t	S V W J V T
Sowjetarmee	z ɔ v j ɛ t a r m e	S V W J V T V R M V
Sowjetbürger	z ɔ v j ɛ t b ʏ r g ə r	S V W J V T P V R K V R
sowjetisch	z ɔ v j ɛ t ɪ ʃ	S V W J V T V S
Sowjetregierung	z ɔ v j ɛ t r e g i r ʊ ŋ	S V W J V T R V K V R V N
Sowjetrepublik	z ɔ v j ɛ t r e p ʊ b l i k	S V W J V T R V P V P R V K
Sowjetrusse	z ɔ v j ɛ t r ʊ s ə	S V W J V T R V S V
sowjetrussisch	z ɔ v j ɛ t r ʊ s ɪ ʃ	S V W J V T R V S V S
Sowjetstern	z ɔ v j ɛ t ʃ t ɛ r n	S V W J V T S T V R N
Sowjetunion	z ɔ v j ɛ t u n i o n	S V W J V T V N V V N
Sowjetvolk	z ɔ v j ɛ t f ɔ l k	S V W J V T P V R K
sowohl	z o v o l	S V W V R
Sozi	z o ts i	S V K V
soziabel	z o ts i a b ə l	S V K V V P V R
Soziabilität	z o ts i a b i l i t æ t	S V K V V P V R V T V T
sozial	z o ts i a l	S V K V V R
Sozialdemokrat	z o ts i a l d e m o k r a t	S V K V V R T V M V K R V T
Sozialdemokratie	z o ts i a l d e m o k r a t i	S V K V V R T V M V K R V T V
sozialdemokratisch	z o ts i a l d e m o k r a t ɪ ʃ	S V K V V R T V M V K R V T V S
Sozialethik	z o ts i a l e t ɪ k	S V K V V R V T V K
Sozialgericht	z o ts i a l g ə r ɪ x t	S V K V V R K V R V K T
Sozialhilfe	z o ts i a l h ɪ l f ə	S V K V V R H V R P V
Sozialhygiene	z o ts i a l h y g i e n ə	S V K V V R H V K V V N V
Sozialisation	z o ts i a l i z a ts i o n	S V K V V R V S V K V V N
sozialisieren	z o ts i a l i z i r ə n	S V K V V R V S V R V N
Sozialisierung	z o ts i a l i z i r ʊ ŋ	S V K V V R V S V R V N
Sozialismus	z o ts i a l ɪ s m ʊ s	S V K V V R V S M V S
Sozialist	z o ts i a l ɪ s t	S V K V V R V S T
sozialistisch	z o ts i a l ɪ s t ɪ ʃ	S V K V V R V S T V S
sozialkritisch	z o ts i a l k r i t ɪ ʃ	S V K V V R K R V T V S
Sozialkunde	z o ts i a l k ʊ n d ə	S V K V V R K V N T V
sozialkundlich	z o ts i a l k ʊ n t l ɪ x	S V K V V R K V N T R V K
sozialliberal	z o ts i a l l i b e r a l	S V K V V R R V P V R V R
Soziallohn	z o ts i a l l o n	S V K V V R R V N
Sozialökonomie	z o ts i a l ɶː k o n o m i	S V K V V R V K V N V M V
Sozialordnung	z o ts i a l ɔ r d n ʊ ŋ	S V K V V R V R T N V N
Sozialpädagogik	z o ts i a l p ɛ d a g o g ɪ k	S V K V V R P V T V K V K V K
Sozialpartner	z o ts i a l p a r t n ə r	S V K V V R P V R T N V R
Sozialpolitik	z o ts i a l p o l i t i k	S V K V V R P V R V T V K
sozialpolitisch	z o ts i a l p o l i t ɪ ʃ	S V K V V R P V R V T V S
Sozialprodukt	z o ts i a l p r o d ʊ k t	S V K V V R P R V T V K T
Sozialpsychologie	z o ts i a l p s y x o l o g i	S V K V V R P S V K V R V K V
Sozialreform	z o ts i a l r e f ɔ r m	S V K V V R R V P V R M
Sozialrentner	z o ts i a l r ɛ n t n ə r	S V K V V R R V N T N V R
Sozialstruktur	z o ts i a l ʃ t r ʊ k t u r	S V K V V R S T R V K T V R
Sozialversicherung	z o ts i a l f ɛ r z ɪ x ə r ʊ ŋ	S V K V V R P V R S V K V R V N
Sozietät	z o ts i e t æ t	S V K V V T V T
Soziographie	z o ts i o g r a f i	S V K V V K R V P V
soziokulturell	z o ts i o k ʊ l t u r ɛ l	S V K V V K V R T V R V R
soziolinguistisch	z o ts i o l ɪ ŋ g u ɪ s t ɪ ʃ	S V K V V R V N K V V S T V S
Soziologe	z o ts i o l o g ə	S V K V V R V K V
Soziologie	z o ts i o l o g i	S V K V V R V K V
soziologisch	z o ts i o l o g ɪ ʃ	S V K V V R V K V S
soziometrisch	z o ts i o m e t r ɪ ʃ	S V K V V M V T R V S
sozioökonomisch	z o ts i o ɶː k o n o m ɪ ʃ	S V K V V V K V N V M V S
Sozius	z o ts i ʊ s	S V K V V S
Soziussitz	z o ts i ʊ s z ɪ ts	S V K V V S S V K
sozusagen	z o ts u z a g ə n	S V K V S V K V N
spachteln	ʃ p a x t ə l n	S P V K T V R N
Spachtel	ʃ p a x t ə l	S P V K T V R
Spachtelmalerei	ʃ p a x t ə l m a l ə r ai	S P V K T V R M V R V R V
Spagat	ʃ p a g a t	S P V K V T
spähen	ʃ p æ ə n	S P V V N
Späher	ʃ p æ ə r	S P V V R
Spähtrupp	ʃ p æ t r ʊ p	S P V T R V P
Spalier	ʃ p a l i r	S P V R V R
spalierbildend	ʃ p a l i r b ɪ l d ə n t	S P V R V R P V R T V N T
Spalierobst	ʃ p a l i r o p s t	S P V R V R V P S T
spalten	ʃ p a l t ə n	S P V R T V N
Spalt	ʃ p a l t	S P V R T
spaltbar	ʃ p a l t b a r	S P V R T P V R
Spaltbarkeit	ʃ p a l t b a r k ai t	S P V R T P V R K V T
spaltbreit	ʃ p a l t b r ai t	S P V R T P R V T
Spalte	ʃ p a l t ə	S P V R T V
Spaltenbreite	ʃ p a l t ə n b r ai t ə	S P V R T V N P R V T V
spaltenlang	ʃ p a l t ə n l a ŋ	S P V R T V N R V N
spaltenweise	ʃ p a l t ə n v ai z ə	S P V R T V N W V S V
Spaltleder	ʃ p a l t l e d ə r	S P V R T R V T V R
Spaltpilz	ʃ p a l t p ɪ l ts	S P V R T P V R K
Spaltprodukt	ʃ p a l t p r o d ʊ k t	S P V R T P R V T V K T
Spaltung	ʃ p a l t ʊ ŋ	S P V R T V N
spanen	ʃ p a n ə n	S P V N V N
spänen	ʃ p æ n ə n	S P V N V N
Span	ʃ p a n	S P V N
spanabhebend	ʃ p a n a p h e b ə n t	S P V N V P H V P V N T
Spänchen	ʃ p æ n x ə n	S P V N K V N
Spandrille	ʃ p a n d r ɪ l ə	S P V N T R V R V
Spanferkel	ʃ p a n f ɛ r k ə l	S P V N P V R K V R
Spängchen	ʃ p ɛ ŋ x ə n	S P V N K V N
Spange	ʃ p a ŋ ə	S P V N V
Spangenschuh	ʃ p a ŋ ə n ʃ u	S P V N V N S V
Spaniel	ʃ p a n i e l	S P V N V V R
Spanien	ʃ p a n i ə n	S P V N V V N
Spanier	ʃ p a n i ə r	S P V N V V R
Spanierin	ʃ p a n i ə r ɪ n	S P V N V V R V N
Spaniol	ʃ p a n i o l	S P V N V V R
Spaniole	ʃ p a n i o l ə	S P V N V V R V
spanisch	ʃ p a n ɪ ʃ	S P V N V S
spanischgelb	ʃ p a n ɪ ʃ g ɛ l p	S P V N V S K V R P
spannen	ʃ p a n ə n	S P V N V N
Spann	ʃ p a n	S P V N
Spannbeton	ʃ p a n b e t ɔ ŋ	S P V N P V T V N
Spanndienst	ʃ p a n d i n s t	S P V N T V N S T
Spanne	ʃ p a n ə	S P V N V
spannend	ʃ p a n ə n t	S P V N V N T
spannenlang	ʃ p a n ə n l a ŋ	S P V N V N R V N
Spanner	ʃ p a n ə r	S P V N V R
spannfähig	ʃ p a n f æ ɪ x	S P V N P V V K
Spannkraft	ʃ p a n k r a f t	S P V N K R V P T
Spannrahmen	ʃ p a n r a m ə n	S P V N R V M V N
Spannung	ʃ p a n ʊ ŋ	S P V N V N
Spannungsabfall	ʃ p a n ʊ ŋ s a p f a l	S P V N V N S V P P V R
Spannungsfeld	ʃ p a n ʊ ŋ s f ɛ l t	S P V N V N S P V R T
Spannungsköffizient	ʃ p a n ʊ ŋ s k o ɛ f i ts i ɛ n t	S P V N V N S K V V P V K V V N T
spannungslos	ʃ p a n ʊ ŋ s l o s	S P V N V N S R V S
Spannungsmesser	ʃ p a n ʊ ŋ s m ɛ s ə r	S P V N V N S M V S V R
Spannungsmoment	ʃ p a n ʊ ŋ s m o m ɛ n t	S P V N V N S M V M V N T
Spannungszustand	ʃ p a n ʊ ŋ s ts u ʃ t a n t	S P V N V N S K V S T V N T
Spannweite	ʃ p a n v ai t ə	S P V N W V T V
sparen	ʃ p a r ə n	S P V R V N
Sparbuch	ʃ p a r b u x	S P V R P V K
Sparbüchse	ʃ p a r b ʏ k s ə	S P V R P V K S V
Spareinlage	ʃ p a r ai n l a g ə	S P V R V N R V K V
Sparer	ʃ p a r ə r	S P V R V R
Sparflamme	ʃ p a r f l a m ə	S P V R P R V M V
Spargel	ʃ p a r g ə l	S P V R K V R
Spargroschen	ʃ p a r g r ɔ ʃ ə n	S P V R K R V S V N
Sparguthaben	ʃ p a r g u t h a b ə n	S P V R K V T H V P V N
Sparkasse	ʃ p a r k a s ə	S P V R K V S V
Sparkassenbuch	ʃ p a r k a s ə n b u x	S P V R K V S V N P V K
spärlich	ʃ p æ r l ɪ x	S P V R R V K
Spärlichkeit	ʃ p æ r l ɪ x k ai t	S P V R R V K K V T
Sparmassnahme	ʃ p a r m a s n a m ə	S P V R M V S N V M V
Sparpfennig	ʃ p a r pf ɛ n ɪ x	S P V R P V N V K
Sparprämie	ʃ p a r p r æ m i ə	S P V R P R V M V V
Sparquote	ʃ p a r k v o t ə	S P V R K W V T V
sparren	ʃ p a r ə n	S P V R V N
Sparre	ʃ p a r ə	S P V R V
Sparren	ʃ p a r ə n	S P V R V N
sparrig	ʃ p a r ɪ x	S P V R V K
sparsam	ʃ p a r z a m	S P V R S V M
Sparsamkeit	ʃ p a r z a m k ai t	S P V R S V M K V T
Sparschwein	ʃ p a r ʃ v ai n	S P V R S W V N
Spart	ʃ p a r t	S P V R T
Spartaner	ʃ p a r t a n ə r	S P V R T V N V R
spartanisch	ʃ p a r t a n ɪ ʃ	S P V R T V N V S
Sparte	ʃ p a r t ə	S P V R T V
Sparterie	ʃ p a r t ə r i	S P V R T V R V
Spartgras	ʃ p a r t g r a s	S P V R T K R V S
Spartiat	ʃ p a r t i a t	S P V R T V V T
spartieren	ʃ p a r t i r ə n	S P V R T V R V N
Sparzins	ʃ p a r ts ɪ n s	S P V R K V N S
spasmatisch	ʃ p a s m a t ɪ ʃ	S P V S M V T V S
spasmisch	ʃ p a s m ɪ ʃ	S P V S M V S
spasmodisch	ʃ p a s m o d ɪ ʃ	S P V S M V T V S
spasmogen	ʃ p a s m o g e n	S P V S M V K V N
Spasmolytikum	ʃ p a s m o l y t i k ʊ m	S P V S M V R V T V K V M
spasmolytisch	ʃ p a s m o l y t ɪ ʃ	S P V S M V R V T V S
spassen	ʃ p a s ə n	S P V S V N
Spass	ʃ p a s	S P V S
Spässchen	ʃ p æ s x ə n	S P V S K V N
Spasserei	ʃ p a s ə r ai	S P V S V R V
spasseshalber	ʃ p a s ə s h a l b ə r	S P V S V S H V R P V R
spasshaft	ʃ p a s h a f t	S P V S H V P T
Spasshaftigkeit	ʃ p a s h a f t ɪ x k ai t	S P V S H V P T V K K V T
spassig	ʃ p a s ɪ x	S P V S V K
Spassigkeit	ʃ p a s ɪ x k ai t	S P V S V K K V T
Spässlein	ʃ p æ s l ai n	S P V S R V N
Spassvogel	ʃ p a s f o g ə l	S P V S P V K V R
Spastiker	ʃ p a s t i k ə r	S P V S T V K V R
