Concept	Dutch_Entry	German_Entry	Dutch_Tokens	German_Tokens	Dutch_Sound_Classes	German_Sound_Classes	Cognacy
sky	hemel	Himmel	h eː m ə l	h ɪ m ə l	H V M V R	H V M V R	1
sleep	slapen	schlafen	s l aː p ə	ʃ l aː f ə n	S R V P V	S R V P V N	1
slide, slip	glijden	gleiten	x l ɛɪ d ə	ɡ l ai t ə n	K R V T V	K R V T V N	1
small, little	klein	klein	k l ɛɪ n	k l ai n	K R V N	K R V N	1
smith, blacksmith	smid	Schmied	s m ɪ t	ʃ m iː t	S M V T	S M V T	1
smoke (noun)	rook	Rauch	r oː k	r au x	R V K	R V K	1
snail	slak	Schnecke	s l ɑ k	ʃ n ɛ k ə	S R V K	S N V K V	0
sneeze	niezen	niesen	n iː z ə	n iː z ə n	N V S V	N V S V N	1
snore	snurken	schnarchen	s n ʉ r k ə	ʃ n a r x ə n	S N V R K V	S N V R K V N	1
snow (noun)	sneeuw	Schnee	s n eː w	ʃ n eː	S N V W	S N V	1
son	zoon	Sohn	z oː n	z oː n	S V N	S V N	1
son-in-law (of a man)	schoonzoon	Schwiegersohn	s x oː n + z oː n	ʃ v iː ɡ ə r + z oː n	S K V N + S V N	S W V K V R + S V N	1
soup, broth	soep	Suppe	s uː p	z ʊ p ə	S V P	S V P V	1
soup, broth	soep	Brühe	s uː p	b r yː ə	S V P	P R V V	0
south	zuiden	Süden	z œy d ə	z yː d ə n	S V T V	S V T V N	1
sow	zaaien	sähen	z aː j ə	z æː ə n	S V J V	S V V N	1
sow (2)	zeug	Sau	z øː x	z au	S V K	S V	1
spade	spade	spaten	s p aː d ə	ʃ p aː t ə n	S P V T V	S P V T V N	1
sphere, ball	bal	Kugel	b ɑ l	k uː ɡ ə l	P V R	K V K V R	0
sphere, ball	bol	Kugel	b ɔ l	k uː ɡ ə l	P V R	K V K V R	0
spin	spinnen	spinnen	s p ɪ n ə	ʃ p ɪ n ə n	S P V N V	S P V N V N	1
spindle	spindel	Spindel	s p ɪ n d ə l	ʃ p ɪ n d ə l	S P V N T V R	S P V N T V R	1
spit	spugen	spucken	s p yː ɣ ə	ʃ p ʊ k ə n	S P V K V	S P V K V N	1
split	splijten	spalten	s p l ɛɪ t ə	ʃ p a l t ə n	S P R V T V	S P V R T V N	1
spread out	uitspreiden	streuen	œy t + s p r ɛɪ d ə	ʃ t r ɔy ə n	V T + S P R V T V	S T R V V N	0
spring, well	bron	Quelle	b r ɔ n	k v ɛ l ə	P R V N	K W V R V	0
spring, well	bron	Brunnen	b r ɔ n	b r ʊ n ə n	P R V N	P R V N V N	1
square	vierkant	Viereck	v iː r + k ɑ n t	f iː r + ɛ k	W V R + K V N T	P V R + V K	1
squeeze, wring	uitpersen	auswringen	œy t + p ɛ r s ə	au s + v r ɪ ŋ ə n	V T + P V R S V	V S + W R V N V N	0
stab	steken	erstechen	s t eː k ə	ɛ r + ʃ t ɛ x ə n	S T V K V	V R + S T V K V N	1
stab	steken	stechen	s t eː k ə	ʃ t ɛ x ə n	S T V K V	S T V K V N	1
stable, stall	stal	Stall	s t ɑ l	ʃ t a l	S T V R	S T V R	1
stallion	hengst	Hengst	h ɛ ŋ s t	h ɛ ŋ s t	H V N S T	H V N S T	1
stepdaughter	stiefdochter	Stieftochter	s t iː v + d ɔ x t ə r	ʃ t iː f + t ɔ x t ə r	S T V W + T V K T V R	S T V P + T V K T V R	1
stepfather	stiefvader	Stiefvater	s t iː + f aː d ə r	ʃ t iː f + f aː t ə r	S T V + P V T V R	S T V P + P V T V R	1
stepmother	stiefmoeder	Stiefmutter	s t iː f + m uː d ə r	ʃ t iː f + m ʊ t ə r	S T V P + M V T V R	S T V P + M V T V R	1
stocking, sock	sok	Strumpf	s ɔ k	ʃ t r ʊ m pf	S V K	S T R V M P	0
stomach	maag	Magen	m aː x	m aː ɡ ə n	M V K	M V K V N	1
